 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,snorkeldownundermp4-00011.jpeg:1_3_l,710,418.5,632,-93.476,709.305,2,1,1,1,1,unidentified
2,snorkeldownundermp4-00011.jpeg:1_3_w,212,429,569.5,-4.086,210.535,2,1,1,1,1,unidentified
