 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,20221115_Selamat-Megafauna_Hocde-Regis_DJI_0280_1mp4-00071.jpeg:1_5_l,369,905.5,558,-64.41,368.11,4,1,2,2,1,unidentified
2,20221115_Selamat-Megafauna_Hocde-Regis_DJI_0280_1mp4-00071.jpeg:1_5_w,80,878.5,500.5,23.009,79.31,4,1,2,2,1,unidentified 
