 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,LeaBernagou1mp4-00038.jpeg:1_1_l,720,1977.5,1332.5,25.816,718.734,2,1,2,1,1,female,LeaBernagou1mp4-00038.jpeg:2_1_l
2,LeaBernagou1mp4-00038.jpeg:1_1_w,157,2053.5,1295.5,-62.942,156.083,2,1,2,1,1,female,LeaBernagou1mp4-00038.jpeg:2_1_w
3,LeaBernagou1mp4-00038.jpeg:2_1_l,381,2041.5,963,31.766,379.907,2,1,2,1,1,calf,LeaBernagou1mp4-00038.jpeg:1_1_l
4,LeaBernagou1mp4-00038.jpeg:2_1_w,98,2088.5,932.5,-58.431,97.417,2,1,2,1,1,calf,LeaBernagou1mp4-00038.jpeg:1_1_w
