 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,LeaBernagou1mp4-00040.jpeg:1_3_l,709,2002.5,1298.5,26.239,707.951,2,1,2,1,1,female,LeaBernagou1mp4-00040.jpeg:2_3_l
2,LeaBernagou1mp4-00040.jpeg:1_3_w,161,2087,1266,-64.075,160.112,2,1,2,1,1,female,LeaBernagou1mp4-00040.jpeg:2_3_w
3,LeaBernagou1mp4-00040.jpeg:2_3_l,384,2051,929,31.118,383.129,2,1,2,1,1,calf,LeaBernagou1mp4-00040.jpeg:1_3_l
4,LeaBernagou1mp4-00040.jpeg:2_3_w,96,2101,901.5,-58.314,95.189,2,1,2,1,1,calf,LeaBernagou1mp4-00040.jpeg:1_3_w
