 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,KitsanaiCharoenjit1_1mp4-00115.jpeg:3_1_l,92,1592,489.833,-119.197,90.88,9,2,2,2,1,unidentified ,
2,KitsanaiCharoenjit1_1mp4-00115.jpeg:3_1_w,22,1603.5,479.667,-29.859,20.755,9,2,2,2,1,unidentified ,
3,KitsanaiCharoenjit1_1mp4-00115.jpeg:4_1_l,113,1127,308,-51.047,111.874,9,2,2,2,1,female ,KitsanaiCharoenjit1_1mp4-00135.jpeg:5_1_l
4,KitsanaiCharoenjit1_1mp4-00115.jpeg:4_1_w,26,1114.167,296.5,37.476,25.201,9,2,2,2,1,female ,KitsanaiCharoenjit1_1mp4-00135.jpeg:5_1_w
