 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,KitsanaiCharoenjit1_1mp4-00117.jpeg:3_3_l,93,1609.875,479.5,-118.1,91.824,9,2,2,2,1,unidentified ,
2,KitsanaiCharoenjit1_1mp4-00117.jpeg:3_3_w,24,1619.875,469.125,-29.667,22.729,9,2,2,2,1,unidentified ,
3,KitsanaiCharoenjit1_1mp4-00117.jpeg:4_2_l,120,1129,296.667,-54.574,119.038,9,2,2,2,1,female ,KitsanaiCharoenjit1_1mp4-00136.jpeg:5_2_l
4,KitsanaiCharoenjit1_1mp4-00117.jpeg:4_2_w,27,1116,286.5,37.304,26.401,9,2,2,2,1,female ,KitsanaiCharoenjit1_1mp4-00136.jpeg:5_2_w
