 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,whalesharkqa2mp4-00027.jpeg:4_3_l,197,397.75,1272.5,-82.367,195.735,4,1,2,1,1,unidentified
2,whalesharkqa2mp4-00027.jpeg:4_3_w,53,391.125,1246.625,8.052,51.76,4,1,2,1,1,unidentified
3,whalesharkqa2mp4-00027.jpeg:6_4_l,212,610.667,1002.167,-88.459,210.743,4,1,2,1,1,female
4,whalesharkqa2mp4-00027.jpeg:6_4_w,56,611,973.667,1.042,55.009,4,1,2,1,1,female
5,whalesharkqa2mp4-00027.jpeg:7_4_l,113,325.625,731.25,-98.581,112.257,4,1,2,1,1,calf
6,whalesharkqa2mp4-00027.jpeg:7_4_w,32,326,716.625,-9.767,30.949,4,1,2,1,1,calf
