 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,nickandlil_1mp4-00009.jpeg:1_4_l,101,747.417,505.583,-0.858,100.178,9,1,8,1,1,unidentified,
2,nickandlil_1mp4-00009.jpeg:1_4_w,27,761.833,508.583,-90,26.167,9,1,8,1,1,unidentified,
3,nickandlil_1mp4-00009.jpeg:2_4_l,75,1223.917,497.167,-15.517,73.513,9,1,2,1,1,calf,nickandlil_1mp4-00009.jpeg:3_3_l
4,nickandlil_1mp4-00009.jpeg:2_4_w,21,1231.583,500.917,-106.928,20.035,9,1,2,1,1,calf,nickandlil_1mp4-00009.jpeg:3_3_w
5,nickandlil_1mp4-00009.jpeg:3_3_l,112,1248.417,508.917,-3.528,111.044,9,1,2,1,1,female,nickandlil_1mp4-00009.jpeg:2_4_l
6,nickandlil_1mp4-00009.jpeg:3_3_w,29,1257.833,509.083,-93.386,28.216,9,1,2,1,1,female,nickandlil_1mp4-00009.jpeg:2_4_w
