 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,nickandlil_1mp4-00012.jpeg:1_3_l,101,684,504.5,-1.152,99.52,9,1,8,1,1,unidentified,
2,nickandlil_1mp4-00012.jpeg:1_3_w,29,692.125,504.875,-90.516,27.751,9,1,8,1,1,unidentified,
3,nickandlil_1mp4-00012.jpeg:2_3_l,75,1147,501.125,-15.813,74.312,9,1,2,1,1,calf,nickandlil_1mp4-00012.jpeg:3_2_l
4,nickandlil_1mp4-00012.jpeg:2_3_w,19,1155,504.5,-107.447,18.344,9,1,2,1,1,calf,nickandlil_1mp4-00012.jpeg:3_2_w
5,nickandlil_1mp4-00012.jpeg:3_2_l,112,1177.5,509.625,-2.203,110.582,9,1,2,1,1,female,nickandlil_1mp4-00012.jpeg:2_3_l
6,nickandlil_1mp4-00012.jpeg:3_2_w,30,1188,506.625,-91.958,29.267,9,1,2,1,1,female,nickandlil_1mp4-00012.jpeg:2_3_w
