 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,FaisalAljarkasmp4-00018.jpeg:2_1_l,381,624,576,-72.853,379.886,4,1,2,1,1,unidentified ,
2,FaisalAljarkasmp4-00018.jpeg:2_1_w,108,611,529.375,18.308,107.439,4,1,2,1,1,unidentified ,
3,FaisalAljarkasmp4-00018.jpeg:1_1_l,409,344.25,976.5,-93.725,407.862,4,1,2,1,1,female,FaisalAljarkasmp4-00018.jpeg:3_1_l
4,FaisalAljarkasmp4-00018.jpeg:1_1_w,103,353.167,912.167,-4.112,102.263,4,1,2,1,1,female,FaisalAljarkasmp4-00018.jpeg:3_1_w
5,FaisalAljarkasmp4-00018.jpeg:3_1_l,256,255.667,1042.5,-91.425,254.745,4,1,2,1,1,calf,FaisalAljarkasmp4-00018.jpeg:1_1_l
6,FaisalAljarkasmp4-00018.jpeg:3_1_w,73,244.667,1014.833,-2.111,72.382,4,1,2,1,1,calf,FaisalAljarkasmp4-00018.jpeg:1_1_w
