 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,FaisalAljarkasmp4-00028.jpeg:1_5_l,448,343.5,850.5,-91.922,447.252,4,1,2,1,1,female,FaisalAljarkasmp4-00023.jpeg:3_4_l
2,FaisalAljarkasmp4-00028.jpeg:1_5_w,111,354,789.5,-1.562,110.041,4,1,2,1,1,female,FaisalAljarkasmp4-00023.jpeg:3_4_w
