 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,ocean_dugong1mp4-00013.jpeg:2_5_l,113,150.625,362,-85.025,112.424,4,1,2,1,1,unidentified
2,ocean_dugong1mp4-00013.jpeg:2_5_w,24,149,348.375,4.351,23.066,4,1,2,1,1,unidentified
