 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,EduardoInfantes_1mp4-00264.jpeg:2_2_l,710,277.5,437,-43.915,709.355,2,1,2,1,1,female
2,EduardoInfantes_1mp4-00264.jpeg:2_2_w,167,245.5,397,44.269,166.184,2,1,2,1,1,female 
