 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,chali_umar2_1mp4-00006.jpeg:1_1_l,160,528.25,436.75,-64.961,159.488,9,2,8,2,1,unidentified 
2,chali_umar2_1mp4-00006.jpeg:1_1_w,40,520.5,417.75,25.241,38.694,9,2,8,2,1,unidentified 
3,chali_umar2_1mp4-00006.jpeg:2_1_l,154,645,465.25,-72.098,152.903,9,2,8,2,1,unidentified 
4,chali_umar2_1mp4-00006.jpeg:2_1_w,40,637.5,446.75,17.266,38.746,9,2,8,2,1,unidentified 
5,chali_umar2_1mp4-00006.jpeg:3_1_l,179,903.5,607.25,-83.535,177.63,9,2,8,2,1,unidentified 
6,chali_umar2_1mp4-00006.jpeg:3_1_w,38,898.75,586,4.699,36.623,9,2,8,2,1,unidentified 
