 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,LiveaboardIndonesiamp4-00038.jpeg:1_5_l,348,361,599.5,-88.349,347.144,2,1,2,1,1,female ,LiveaboardIndonesiamp4-00038.jpeg:2_5_l
2,LiveaboardIndonesiamp4-00038.jpeg:1_5_w,76,364.5,567.5,0.764,75.007,2,1,2,1,1,female ,LiveaboardIndonesiamp4-00038.jpeg:2_5_w
3,LiveaboardIndonesiamp4-00038.jpeg:2_5_l,261,213.5,736,-93.302,260.432,2,1,2,1,1,calf,LiveaboardIndonesiamp4-00038.jpeg:1_5_l
4,LiveaboardIndonesiamp4-00038.jpeg:2_5_w,61,220,708,-3.814,60.133,2,1,2,1,1,calf,LiveaboardIndonesiamp4-00038.jpeg:1_5_w
