 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,rhyssmclean1mp4-00055.jpeg:1_3_l,250,1621,1281.5,82.618,249.064,4,1,8,1,2,unidentified 
2,rhyssmclean1mp4-00055.jpeg:1_3_w,73,1626.5,1308.5,-7.224,71.568,4,1,8,1,2,unidentified 
