 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,paddlingpalau_2mp4-00047.jpeg:3_5_l,157,531.125,377.125,36.373,155.556,4,1,2,1,2,female,paddlingpalau_2mp4-00047.jpeg:4_5_l
2,paddlingpalau_2mp4-00047.jpeg:3_5_w,38,522.938,378.188,-52.703,36.926,4,1,2,1,2,female,paddlingpalau_2mp4-00047.jpeg:4_5_w
3,paddlingpalau_2mp4-00047.jpeg:4_5_l,96,540.5,330.167,31.515,95.015,4,1,2,1,2,calf,paddlingpalau_2mp4-00047.jpeg:3_5_l
4,paddlingpalau_2mp4-00047.jpeg:4_5_w,26,532.083,334.083,-58.772,24.753,4,1,2,1,2,calf,paddlingpalau_2mp4-00047.jpeg:3_5_w
