 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,brookedunford3mp4-00009.jpeg:1_3_l,215,841.5,594,-133.299,214.348,2,1,2,2,1,unidentified 
2,brookedunford3mp4-00009.jpeg:1_3_w,49,867,569,-38.29,48.415,2,1,2,2,1,unidentified 
