 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,fewlapsaroundthesunmp4-00039.jpeg:1_1_l,397,580,968,-135.818,396.02,2,1,2,1,1,female,fewlapsaroundthesunmp4-00039.jpeg:2_1_l
2,fewlapsaroundthesunmp4-00039.jpeg:1_1_w,102,621,939.5,-42.997,101.178,2,1,2,1,1,female,fewlapsaroundthesunmp4-00039.jpeg:2_1_w
3,fewlapsaroundthesunmp4-00039.jpeg:2_1_l,186,472.5,997.5,-132.378,185.456,2,1,2,1,1,calf,fewlapsaroundthesunmp4-00039.jpeg:1_1_l
4,fewlapsaroundthesunmp4-00039.jpeg:2_1_w,44,489.25,989,-45.466,43.489,2,1,2,1,1,calf,fewlapsaroundthesunmp4-00039.jpeg:1_1_w
