 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,RedSeaGlobal2mp4-00363.jpeg:1_3_l,104,859.625,605.5,-91.537,102.537,9,1,1,1,1,unidentified
2,RedSeaGlobal2mp4-00363.jpeg:1_3_w,25,859.5,594.75,-1.219,23.505,9,1,1,1,1,unidentified 
