 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,tamangdugong_1mp4-00041.jpeg:2_4_l,248,1283,543.25,-34.173,246.573,9,1,2,1,1,unidentified
2,tamangdugong_1mp4-00041.jpeg:2_4_w,59,1308.5,563.25,-126.174,57.604,9,1,2,1,1,unidentified
