 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,rebpentti1_1mp4-00048.jpeg:1_1_l,218,809,553.5,77.5,217.147,2,1,2,2,1,female ,rebpentti1_1mp4-00048.jpeg:2_1_l
2,rebpentti1_1mp4-00048.jpeg:1_1_w,65,803.5,588,-13.601,63.789,2,1,2,2,1,female ,rebpentti1_1mp4-00048.jpeg:2_1_w
3,rebpentti1_1mp4-00048.jpeg:2_1_l,159,919.25,473.25,-89.818,157.501,2,1,2,2,1,calf,rebpentti1_1mp4-00048.jpeg:1_1_l
4,rebpentti1_1mp4-00048.jpeg:2_1_w,44,924.5,491.5,0,43,2,1,2,2,1,calf,rebpentti1_1mp4-00048.jpeg:1_1_w
