 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,rebpentti15mp4-00051.jpeg:1_1_l,147,931.5,519,24.281,145.908,4,1,8,1,1,calf,rebpentti15mp4-00051.jpeg:2_1_l
2,rebpentti15mp4-00051.jpeg:1_1_w,39,918,527.5,-65.433,38.484,4,1,8,1,1,calf,rebpentti15mp4-00051.jpeg:2_1_w
3,rebpentti15mp4-00051.jpeg:2_1_l,221,925.5,589,5.218,219.911,4,1,8,1,1,female ,rebpentti15mp4-00051.jpeg:1_1_l
4,rebpentti15mp4-00051.jpeg:2_1_w,49,895.833,592.875,-84.476,48.475,4,1,8,1,1,female ,rebpentti15mp4-00051.jpeg:1_1_w
