 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,rebpentti1_1mp4-00052.jpeg:1_5_l,218,763.5,590,73.655,216.76,4,1,2,1,1,female 
2,rebpentti1_1mp4-00052.jpeg:1_5_w,57,759,618.5,-16.504,56.321,4,1,2,1,1,female 
