 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,katrinarazon_1mp4-00080.jpeg:2_1_l,861,866,719.5,17.529,859.931,4,1,2,1,1,female ,katrinarazon_1mp4-00080.jpeg:1_3_l
2,katrinarazon_1mp4-00080.jpeg:2_1_w,182,955,691.5,-70.665,181.221,4,1,2,1,1,female ,katrinarazon_1mp4-00080.jpeg:1_3_w
3,katrinarazon_1mp4-00080.jpeg:1_3_l,501,545,560,20.1,500.484,9,1,2,1,1,calf,katrinarazon_1mp4-00080.jpeg:2_1_l
4,katrinarazon_1mp4-00080.jpeg:1_3_w,113,595,535,-63.435,111.803,9,1,2,1,1,calf,katrinarazon_1mp4-00080.jpeg:2_1_w
