 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,ealx2mp4-00037.jpeg:2_1_l,77,306.875,146.625,-34.885,76.496,4,2,2,2,1,calf
2,ealx2mp4-00037.jpeg:2_1_w,15,300.375,142,54.345,14.153,4,2,2,2,1,calf
