 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,BornToBeWild_1mp4-00075.jpeg:1_4_l,533,982,528.5,-93.018,531.738,4,1,2,1,1,female,BornToBeWild_1mp4-00827.jpeg:2_5_l
2,BornToBeWild_1mp4-00075.jpeg:1_4_w,146,983.5,446.5,-4.338,145.417,4,1,2,1,1,female,BornToBeWild_1mp4-00827.jpeg:2_5_w
