 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,MAN_P4_GAM_M1_F2_GSP_DJI_0309_1mp4-00008.jpeg:1_2_l,77,822.583,713.5,-8.823,76.067,4,1,2,1,1,female ,MAN_P4_GAM_M1_F2_GSP_DJI_0309_1mp4-00088.jpeg:2_2_l
2,MAN_P4_GAM_M1_F2_GSP_DJI_0309_1mp4-00008.jpeg:1_2_w,19,810.667,712.167,-98.584,17.867,4,1,2,1,1,female ,MAN_P4_GAM_M1_F2_GSP_DJI_0309_1mp4-00088.jpeg:2_2_w
