 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,alexkyddphotomp4-00033.jpeg:1_4_l,432,372,783,-119.184,430.669,2,1,2,1,1,female ,alexkyddphotomp4-00033.jpeg:2_4_l
2,alexkyddphotomp4-00033.jpeg:1_4_w,94,405.5,735,-29.592,93.15,2,1,2,1,1,female ,alexkyddphotomp4-00033.jpeg:2_4_w
3,alexkyddphotomp4-00033.jpeg:2_4_l,319,547.5,766,-123.341,318.404,2,1,2,1,1,calf,alexkyddphotomp4-00033.jpeg:1_4_l
4,alexkyddphotomp4-00033.jpeg:2_4_w,81,567.5,742.5,-32.692,79.612,2,1,2,1,1,calf,alexkyddphotomp4-00033.jpeg:1_4_w
