 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,alexkyddphotomp4-00050.jpeg:6_5_l,380,606.5,1129,-127.596,378.63,2,1,2,1,1,unidentified 
2,alexkyddphotomp4-00050.jpeg:6_5_w,80,625,1094.5,-36.293,79.404,2,1,2,1,1,unidentified 
