 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,alexkyddphotomp4-00030.jpeg:1_3_l,424,398.5,780.5,-118.08,422.765,2,1,2,1,1,female ,alexkyddphotomp4-00030.jpeg:2_3_l
2,alexkyddphotomp4-00030.jpeg:1_3_w,97,419,748.5,-29.228,96.255,2,1,2,1,1,female ,alexkyddphotomp4-00030.jpeg:2_3_w
3,alexkyddphotomp4-00030.jpeg:2_3_l,345,572.5,749,-122.535,343.984,2,1,2,1,1,calf,alexkyddphotomp4-00030.jpeg:1_3_l
4,alexkyddphotomp4-00030.jpeg:2_3_w,75,598,716.5,-33.476,74.33,2,1,2,1,1,calf,alexkyddphotomp4-00030.jpeg:1_3_w
