 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,FaisalUmar1mp4-00120.jpeg:2_1_l,488,411,564,4.002,487.188,4,2,2,2,2,unidentified
2,FaisalUmar1mp4-00120.jpeg:2_1_w,96,483,576,-83.928,94.53,4,2,2,2,2,unidentified
