 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,louanna.lngmp4-00022.jpeg:2_5_l,286,224.5,638,-84.569,285.281,4,1,2,1,1,female ,louanna.lngmp4-00022.jpeg:1_4_l
2,louanna.lngmp4-00022.jpeg:2_5_w,73,219.5,599.5,7.224,71.568,4,1,2,1,1,female ,louanna.lngmp4-00022.jpeg:1_4_w
3,louanna.lngmp4-00022.jpeg:1_4_l,162,151,650.5,-77.781,160.639,4,1,2,1,1,calf ,louanna.lngmp4-00022.jpeg:2_5_l
4,louanna.lngmp4-00022.jpeg:1_4_w,44,141,635,13.392,43.174,4,1,2,1,1,calf ,louanna.lngmp4-00022.jpeg:2_5_w
