 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,louanna.lngmp4-00026.jpeg:1_1_l,158,127.25,649.25,-85.433,156.998,4,1,2,1,1,calf,louanna.lngmp4-00026.jpeg:2_1_l
2,louanna.lngmp4-00026.jpeg:1_1_w,45,125.5,626.75,4.548,44.139,4,1,2,1,1,calf,louanna.lngmp4-00026.jpeg:2_1_w
3,louanna.lngmp4-00026.jpeg:2_1_l,286,213,637,-86.373,284.57,4,1,2,1,1,female ,louanna.lngmp4-00026.jpeg:1_1_l
4,louanna.lngmp4-00026.jpeg:2_1_w,74,210.5,606.5,5.477,73.335,4,1,2,1,1,female ,louanna.lngmp4-00026.jpeg:1_1_w
