 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,louanna.lngmp4-00024.jpeg:1_3_l,158,135,649.5,-80.478,157.166,4,1,2,1,1,calf ,louanna.lngmp4-00024.jpeg:2_4_l
2,louanna.lngmp4-00024.jpeg:2_4_l,282,214,640,-84.289,281.397,4,1,2,1,1,female ,louanna.lngmp4-00024.jpeg:1_3_l
3,louanna.lngmp4-00024.jpeg:1_3_w,50,130,630.5,8.297,48.508,4,1,2,1,1,calf ,louanna.lngmp4-00024.jpeg:2_4_w
4,louanna.lngmp4-00024.jpeg:2_4_w,72,210.5,599.5,5.631,71.344,4,1,2,1,1,female ,louanna.lngmp4-00024.jpeg:1_3_w
