 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,Caulvyn_Brystol_SIFmp4-00166.jpeg:3_3_l,193,1525.833,916.833,-37.387,192.141,4,1,2,1,1,calf,Caulvyn_Brystol_SIFmp4-00128.jpeg:2_1_l
2,Caulvyn_Brystol_SIFmp4-00166.jpeg:3_3_w,46,1506.833,902.667,51.866,45.344,4,1,2,1,1,calf,Caulvyn_Brystol_SIFmp4-00128.jpeg:2_1_w
