 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,EndangeredSpeciesRecoveryProgramDugongmp4-00024.jpeg:1_1_l,114,293.5,607.25,-57.86,112.784,9,1,2,2,1,unidentified
2,EndangeredSpeciesRecoveryProgramDugongmp4-00024.jpeg:1_1_w,30,286.75,595,32.32,28.991,9,1,2,2,1,unidentified
