 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,EndangeredSpeciesRecoveryProgramDugong2_1mp4-00028.jpeg:1_4_l,275,1138,599.5,53.172,273.6,9,1,2,1,1,unidentified
2,EndangeredSpeciesRecoveryProgramDugong2_1mp4-00028.jpeg:1_4_w,69,1159,564.5,-37.208,67.801,9,1,2,1,1,unidentified
