 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,BastianSaputra1mp4-00026.jpeg:1_3_l,104,451.667,551.333,-14.081,102.754,9,2,2,1,1,unidentified
2,BastianSaputra1mp4-00026.jpeg:1_3_w,26,468.167,547,-105.322,25.23,9,2,2,1,1,unidentified
3,BastianSaputra1mp4-00026.jpeg:6_4_l,116,421.667,688.333,-49.919,115.448,9,2,2,1,1,unidentified
4,BastianSaputra1mp4-00026.jpeg:6_4_w,33,406.5,675,37.823,32.071,9,2,2,1,1,unidentified 
5,BastianSaputra1mp4-00026.jpeg:2_5_l,138,431.333,872.167,-120.317,136.693,9,2,2,1,1,unidentified
6,BastianSaputra1mp4-00026.jpeg:2_5_w,31,437.667,855.167,-29.745,29.562,9,2,2,1,1,unidentified 
