 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,b47r_1mp4-00052.jpeg:2_2_l,422,829,783,12.057,421.293,4,1,2,1,1,calf,b47r_1mp4-00036.jpeg:1_2_l
2,b47r_1mp4-00052.jpeg:2_2_w,112,878.5,766,-75.964,111.324,4,1,2,1,1,calf,b47r_1mp4-00036.jpeg:1_2_w
