 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,dronesharkapp2mp4-00033.jpeg:2_1_l,297,384,534,-124.548,296.243,2,1,2,1,1,calf,dronesharkapp2mp4-00043.jpeg:1_3_l
2,dronesharkapp2mp4-00033.jpeg:2_1_w,76,421.5,515.5,-35.181,74.632,2,1,2,1,1,calf,dronesharkapp2mp4-00043.jpeg:1_3_w
