 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,Evan_Trotzuk_1bmp4-01170.jpeg:4_5_w,34,952.25,511.75,-54.462,32.976,4,1,2,1,1,unidentified,
2,Evan_Trotzuk_1bmp4-01170.jpeg:4_5_l,155,968.667,501.167,34.207,153.566,4,1,2,1,1,unidentified ,
3,Evan_Trotzuk_1bmp4-01170.jpeg:5_1_l,212,1156,867.625,25.653,210.776,4,1,2,1,1,female,Evan_Trotzuk_1bmp4-01170.jpeg:6_1_l
4,Evan_Trotzuk_1bmp4-01170.jpeg:5_1_w,49,1136.25,880.5,-62.904,48.301,4,1,2,1,1,female,Evan_Trotzuk_1bmp4-01170.jpeg:6_1_w
5,Evan_Trotzuk_1bmp4-01170.jpeg:6_1_l,117,1144.875,823.375,20.225,116.429,4,1,2,1,1,calf,Evan_Trotzuk_1bmp4-01170.jpeg:5_1_l
6,Evan_Trotzuk_1bmp4-01170.jpeg:6_1_w,29,1130.625,824.125,-65.985,27.643,4,1,2,1,1,calf,Evan_Trotzuk_1bmp4-01170.jpeg:5_1_w
