 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,Evan_Trotzuk_1bmp4-01179.jpeg:5_2_l,194,1172.5,842.75,24.038,192.713,4,1,2,1,1,female,Evan_Trotzuk_1bmp4-01179.jpeg:6_2_l
2,Evan_Trotzuk_1bmp4-01179.jpeg:5_2_w,48,1150.875,857.625,-63.572,46.622,4,1,2,1,1,female,Evan_Trotzuk_1bmp4-01179.jpeg:6_2_w
3,Evan_Trotzuk_1bmp4-01179.jpeg:6_2_l,107,1158.625,801.5,18.903,106.493,4,1,2,1,1,calf,Evan_Trotzuk_1bmp4-01179.jpeg:5_2_l
4,Evan_Trotzuk_1bmp4-01179.jpeg:6_2_w,29,1146.875,802.5,-67.141,27.673,4,1,2,1,1,calf,Evan_Trotzuk_1bmp4-01179.jpeg:5_2_w
