 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,Evan_Trotzuk_1amp4-00012.jpeg:1_2_l,1060,697.25,508.375,-5.947,1059.201,2,1,2,1,2,unidentified
2,Evan_Trotzuk_1amp4-00012.jpeg:1_2_w,224,842.917,553.75,-95.094,223.382,2,1,2,1,2,unidentified 
