 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,NEOM_DJI_2024.02.08mp4-00109.jpeg:1_4_l,469,906,597,-122.265,468.312,4,2,2,1,1,unidentified
2,NEOM_DJI_2024.02.08mp4-00109.jpeg:1_4_w,114,943.5,540,-30.877,113.018,4,2,2,1,1,unidentified 
