 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,MAN_P4_UM_M6_F2_GSP_DJI_0223_1mp4-00034.jpeg:1_1_l,65,667.375,603.625,33.876,64.138,4,1,2,1,1,female,MAN_P4_UM_M6_F2_GSP_DJI_0223_1mp4-00034.jpeg:2_1_l
2,MAN_P4_UM_M6_F2_GSP_DJI_0223_1mp4-00034.jpeg:1_1_w,16,672.083,600.583,-56.129,14.653,4,1,2,1,1,female,MAN_P4_UM_M6_F2_GSP_DJI_0223_1mp4-00034.jpeg:2_1_w
3,MAN_P4_UM_M6_F2_GSP_DJI_0223_1mp4-00034.jpeg:2_1_l,36,662.5,580.917,36.327,35.168,4,1,2,1,1,calf,MAN_P4_UM_M6_F2_GSP_DJI_0223_1mp4-00034.jpeg:1_1_l
4,MAN_P4_UM_M6_F2_GSP_DJI_0223_1mp4-00034.jpeg:2_1_w,7,664.833,577.333,-55.491,6.472,4,1,2,1,1,calf,MAN_P4_UM_M6_F2_GSP_DJI_0223_1mp4-00034.jpeg:1_1_w
