 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,ClipDugong1_GH034196mp4-00015.jpeg:1_1_l,80,312.167,335.917,17.513,78.645,4,2,2,1,2,unidentified
2,ClipDugong1_GH034196mp4-00015.jpeg:1_1_w,22,298.667,338.833,-71.274,20.766,4,2,2,1,2,unidentified
