 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,ClipDugong1_GH034196mp4-00020.jpeg:2_4_l,60,215.083,1177.75,-93.098,58.586,4,2,2,1,1,calf,ClipDugong1_GH034196mp4-00020.jpeg:3_4_l
2,ClipDugong1_GH034196mp4-00020.jpeg:2_4_w,22,215.25,1184.583,-3.155,21.199,4,2,2,1,1,calf,ClipDugong1_GH034196mp4-00020.jpeg:3_4_w
3,ClipDugong1_GH034196mp4-00020.jpeg:3_4_l,95,262.583,1169.333,61.446,94.494,4,2,2,1,1,female,ClipDugong1_GH034196mp4-00020.jpeg:2_4_l
4,ClipDugong1_GH034196mp4-00020.jpeg:3_4_w,26,254.75,1183.083,-30.174,24.87,4,2,2,1,1,female,ClipDugong1_GH034196mp4-00020.jpeg:2_4_w
