 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,GH034207_1mp4-00016.jpeg:3_3_l,59,456.833,932.333,-98.547,58.314,9,1,2,1,1,unidentified
2,GH034207_1mp4-00016.jpeg:3_3_w,17,458.917,921.667,-8.561,15.675,9,1,2,1,1,unidentified
3,GH034207_1mp4-00016.jpeg:4_3_l,65,742.5,985.333,-101.72,64.001,9,1,2,1,1,unidentified
4,GH034207_1mp4-00016.jpeg:4_3_w,18,744.417,978.667,-11.65,16.507,9,1,2,1,1,unidentified
5,GH034207_1mp4-00016.jpeg:5_3_l,50,769.083,807.667,-103.096,49.282,9,1,2,1,1,unidentified
6,GH034207_1mp4-00016.jpeg:5_3_w,13,770.5,801.083,-11.768,12.258,9,1,2,1,1,unidentified
7,GH034207_1mp4-00016.jpeg:6_2_l,53,1130.75,777.625,-99.417,51.95,9,1,2,1,1,unidentified
8,GH034207_1mp4-00016.jpeg:6_2_w,13,1132,769.875,-10.62,12.209,9,1,2,1,1,unidentified
