 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,ClipDugong2_GH034196mp4-00042.jpeg:1_5_l,73,644,1273.583,-80.647,71.788,9,1,2,1,1,unidentified
2,ClipDugong2_GH034196mp4-00042.jpeg:1_5_w,21,644.25,1265.167,8.601,20.059,9,1,2,1,1,unidentified
3,ClipDugong2_GH034196mp4-00042.jpeg:2_5_l,73,819.167,1406.75,3.327,71.788,4,1,2,1,1,unidentified
4,ClipDugong2_GH034196mp4-00042.jpeg:2_5_w,23,809.833,1407,-85.601,21.731,4,1,2,1,1,unidentified
5,ClipDugong2_GH034196mp4-00042.jpeg:3_5_l,39,566.938,1419.875,-67.176,37.702,9,1,2,1,1,calf
6,ClipDugong2_GH034196mp4-00042.jpeg:3_5_w,12,564.938,1415.312,18.838,11.226,9,1,2,1,1,calf
