 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,GH034207_1mp4-00015.jpeg:1_2_l,48,432.25,631.083,-59.67,46.536,9,1,2,1,1,unidentified
2,GH034207_1mp4-00015.jpeg:1_2_w,14,428,625.5,27.216,13.119,9,1,2,1,1,unidentified
3,GH034207_1mp4-00015.jpeg:2_3_l,62,449.333,769.25,-119.706,61.211,9,1,2,1,1,unidentified
4,GH034207_1mp4-00015.jpeg:2_3_w,16,452.417,762,-31.938,15.123,9,1,2,1,1,unidentified
5,GH034207_1mp4-00015.jpeg:3_2_l,52,528.583,752.917,-98.393,51.384,9,1,2,1,1,unidentified
6,GH034207_1mp4-00015.jpeg:3_2_w,16,529.5,747.5,-9.039,14.851,9,1,2,1,1,unidentified
7,GH034207_1mp4-00015.jpeg:4_2_l,62,793.583,815.917,-102.238,60.542,9,1,2,1,1,unidentified
8,GH034207_1mp4-00015.jpeg:4_2_w,17,795.333,809.167,-12.265,15.691,9,1,2,1,1,unidentified
9,GH034207_1mp4-00015.jpeg:5_2_l,47,819,656,-105.011,46.331,9,1,2,1,1,unidentified
10,GH034207_1mp4-00015.jpeg:5_2_w,13,820.5,650.188,-15.524,11.676,9,1,2,1,1,unidentified
11,GH034207_1mp4-00015.jpeg:6_1_l,49,1159.25,644.25,-97.792,47.943,9,1,2,1,1,unidentified
12,GH034207_1mp4-00015.jpeg:6_1_w,13,1160.917,636.917,-8.807,11.975,9,1,2,1,1,unidentified
