 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,GH034215_1mp4-00051.jpeg:1_3_l,65,1514.917,922.167,-1.496,63.855,4,1,2,1,1,female,
2,GH034215_1mp4-00051.jpeg:1_3_w,17,1519.917,922.167,-91.828,15.675,4,1,2,1,1,female,
3,GH034215_1mp4-00051.jpeg:2_3_l,58,1679.667,726.667,52.658,56.602,4,1,2,1,1,unidentified,
4,GH034215_1mp4-00051.jpeg:2_3_w,17,1675.667,732.5,-36.384,15.734,4,1,2,1,1,unidentified,
5,GH034215_1mp4-00051.jpeg:3_3_l,52,1459.917,670.833,10.539,51.027,4,1,2,1,1,unidentified,
6,GH034215_1mp4-00051.jpeg:3_3_w,15,1468.583,670.333,-77.255,14.354,4,1,2,1,1,unidentified,
7,GH034215_1mp4-00051.jpeg:4_1_l,56,1662.062,379.938,-130.757,54.951,4,1,2,1,1,unidentified,
8,GH034215_1mp4-00051.jpeg:4_1_w,14,1666.188,377.062,-39.738,13.492,4,1,2,1,1,unidentified,
9,GH034215_1mp4-00051.jpeg:5_2_l,46,872,536.188,-41.066,45.096,9,1,2,1,1,female,GH034215_1mp4-00051.jpeg:6_2_l
10,GH034215_1mp4-00051.jpeg:5_2_w,12,876.062,539.5,49.054,11.253,9,1,2,1,1,female,GH034215_1mp4-00051.jpeg:6_2_w
11,GH034215_1mp4-00051.jpeg:6_2_l,36,863.688,515.562,-24.818,34.843,9,1,2,1,1,calf,GH034215_1mp4-00051.jpeg:5_2_l
12,GH034215_1mp4-00051.jpeg:6_2_w,10,865.75,516.938,64.47,9.281,9,1,2,1,1,calf,GH034215_1mp4-00051.jpeg:5_2_w
13,GH034215_1mp4-00051.jpeg:7_1_l,56,1387.917,645.583,-8.13,55.39,9,1,2,1,1,unidentified,
14,GH034215_1mp4-00051.jpeg:7_1_w,16,1396.083,647.521,-98.38,14.867,9,1,2,1,1,unidentified,
