 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,GH034215_1mp4-00049.jpeg:1_1_l,65,1553.083,693.917,-1.042,64.177,4,1,2,1,1,female
2,GH034215_1mp4-00049.jpeg:1_1_w,15,1560.25,694,-88.995,14.252,4,1,2,1,1,female
3,GH034215_1mp4-00049.jpeg:2_1_l,58,1731.833,524.417,46.072,56.696,4,1,2,1,1,unidentified
4,GH034215_1mp4-00049.jpeg:2_1_w,17,1726.833,530.75,-42.879,15.921,4,1,2,1,1,unidentified
5,GH034215_1mp4-00049.jpeg:3_1_l,51,1518.417,464.083,5.577,49.735,4,1,2,1,1,unidentified
6,GH034215_1mp4-00049.jpeg:3_1_w,15,1525.25,463.333,-82.36,13.789,4,1,2,1,1,unidentified
