 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,MareCetmp4-00043.jpeg:3_1_l,91,1889,1328.375,-47.577,90.424,4,1,2,1,1,unidentified 
2,MareCetmp4-00043.jpeg:3_1_w,22,1880.75,1319.708,39.981,20.881,4,1,2,1,1,unidentified 
