 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,Ferty_Friwenmp4-00032.jpeg:1_4_l,132,262.833,367.5,-127.569,131.21,4,1,2,1,1,female ,Ferty_Friwenmp4-00032.jpeg:2_4_l
2,Ferty_Friwenmp4-00032.jpeg:1_4_w,28,271.667,356,-37.875,26.604,4,1,2,1,1,female ,Ferty_Friwenmp4-00032.jpeg:2_4_w
3,Ferty_Friwenmp4-00032.jpeg:2_4_l,88,219.75,372.75,-124.965,87.248,4,1,2,1,1,calf,Ferty_Friwenmp4-00032.jpeg:1_4_l
4,Ferty_Friwenmp4-00032.jpeg:2_4_w,21,225,365.375,-34.287,19.97,4,1,2,1,1,calf ,Ferty_Friwenmp4-00032.jpeg:1_4_w
5,Ferty_Friwenmp4-00032.jpeg:4_4_l,109,88.25,574.375,-114.258,108.313,4,1,2,1,1,unidentified,
6,Ferty_Friwenmp4-00032.jpeg:4_4_w,22,93.875,562.708,-25.848,20.834,4,1,2,1,1,unidentified,
7,Ferty_Friwenmp4-00032.jpeg:3_4_l,136,217.667,107.667,-166.411,134.773,4,1,2,1,1,unidentified,
8,Ferty_Friwenmp4-00032.jpeg:3_4_w,34,236.667,103.5,-77.661,32.757,4,1,2,1,1,unidentified,
