 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,Ferty_Friwenmp4-00020.jpeg:1_1_l,136,240.167,423,-123.612,134.885,4,1,2,1,1,female ,Ferty_Friwenmp4-00020.jpeg:2_1_l
2,Ferty_Friwenmp4-00020.jpeg:1_1_w,30,247.667,408,-34.611,28.756,4,1,2,1,1,female ,Ferty_Friwenmp4-00020.jpeg:2_1_w
3,Ferty_Friwenmp4-00020.jpeg:2_1_l,89,192.833,442.5,-121.636,87.699,4,1,2,1,1,calf,Ferty_Friwenmp4-00020.jpeg:1_1_l
4,Ferty_Friwenmp4-00020.jpeg:2_1_w,21,198.188,433.167,-31.546,20.388,4,1,2,1,1,calf ,Ferty_Friwenmp4-00020.jpeg:1_1_w
5,Ferty_Friwenmp4-00020.jpeg:4_1_l,113,69.396,645.854,-113.143,112.059,4,1,2,1,1,unidentified,
6,Ferty_Friwenmp4-00020.jpeg:4_1_w,22,75.812,629.875,-22.801,21.289,4,1,2,1,1,unidentified,
7,Ferty_Friwenmp4-00020.jpeg:3_1_l,136,176.938,110.979,178.184,135.443,4,1,2,1,1,unidentified,
8,Ferty_Friwenmp4-00020.jpeg:3_1_w,35,191.833,110.917,-91.14,33.507,4,1,2,1,1,unidentified,
