 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,Ferty_Friwenmp4-00025.jpeg:1_2_l,135,250,397.833,-125.156,133.727,4,1,2,1,1,female ,Ferty_Friwenmp4-00025.jpeg:2_2_l
2,Ferty_Friwenmp4-00025.jpeg:1_2_w,29,258.833,385.833,-34.439,28.292,4,1,2,1,1,female ,Ferty_Friwenmp4-00025.jpeg:2_2_w
3,Ferty_Friwenmp4-00025.jpeg:2_2_l,89,203.667,412.5,-122.189,88.228,4,1,2,1,1,calf,Ferty_Friwenmp4-00025.jpeg:1_2_l
4,Ferty_Friwenmp4-00025.jpeg:2_2_w,20,209.5,402.5,-33.69,19.23,4,1,2,1,1,calf ,Ferty_Friwenmp4-00025.jpeg:1_2_w
5,Ferty_Friwenmp4-00025.jpeg:4_2_l,111,75.5,615.25,-114.228,109.659,4,1,2,1,1,unidentified,
6,Ferty_Friwenmp4-00025.jpeg:4_2_w,28,82.125,602,-24.399,26.628,4,1,2,1,1,unidentified,
7,Ferty_Friwenmp4-00025.jpeg:3_2_l,137,194.75,108.25,-174.742,136.407,4,1,2,1,1,unidentified,
8,Ferty_Friwenmp4-00025.jpeg:3_2_w,32,214.375,109.5,-84.015,31.17,4,1,2,1,1,unidentified,
