 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,bastianas_2_1mp4-00042.jpeg:1_2_l,197,973.75,285.25,-81.952,196.434,4,1,8,2,1,unidentified 
2,bastianas_2_1mp4-00042.jpeg:1_2_w,51,972.5,253,7.97,50.488,4,1,8,2,1,unidentified 
3,bastianas_2_1mp4-00042.jpeg:2_2_l,166,1068,266,-105.803,165.245,4,1,8,2,1,unidentified 
4,bastianas_2_1mp4-00042.jpeg:2_2_w,38,1079.25,244.75,-16.477,37.02,4,1,8,2,1,unidentified 
5,bastianas_2_1mp4-00042.jpeg:3_2_l,219,771.5,718.75,-157.441,217.654,4,1,8,2,1,unidentified 
6,bastianas_2_1mp4-00042.jpeg:3_2_w,49,796.5,713.75,-66.879,48.386,4,1,8,2,1,unidentified 
