 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,bastianas_2_1mp4-00001.jpeg:1_1_l,198,1027,312,168.861,196.705,4,1,8,2,1,unidentified 
2,bastianas_2_1mp4-00001.jpeg:1_1_w,47,1049.25,315,-98.043,46.457,4,1,8,2,1,unidentified 
3,bastianas_2_1mp4-00001.jpeg:2_1_l,177,1394.75,486.5,-59.064,176.043,4,1,8,2,1,unidentified 
4,bastianas_2_1mp4-00001.jpeg:2_1_w,44,1390.75,463.5,28.072,42.5,4,1,8,2,1,unidentified 
5,bastianas_2_1mp4-00001.jpeg:3_1_l,223,897,753.5,-120.033,221.777,4,1,8,2,1,unidentified 
6,bastianas_2_1mp4-00001.jpeg:3_1_w,49,914.75,730,-30.041,47.94,4,1,8,2,1,unidentified 
