 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,MAN_P4_GAM_M1_F2_GSP_DJI_0299_1mp4-00109.jpeg:1_5_l,45,1009.938,654.188,79.767,44.33,4,1,2,1,1,calf,MAN_P4_GAM_M1_F2_GSP_DJI_0299_1mp4-00109.jpeg:2_5_l
2,MAN_P4_GAM_M1_F2_GSP_DJI_0299_1mp4-00109.jpeg:1_5_w,11,1009.562,658.625,-11.739,9.831,4,1,2,1,1,calf,MAN_P4_GAM_M1_F2_GSP_DJI_0299_1mp4-00109.jpeg:2_5_w
3,MAN_P4_GAM_M1_F2_GSP_DJI_0299_1mp4-00109.jpeg:2_5_l,65,995.938,649.938,75.772,63.575,4,1,2,1,1,female ,MAN_P4_GAM_M1_F2_GSP_DJI_0299_1mp4-00109.jpeg:1_5_l
4,MAN_P4_GAM_M1_F2_GSP_DJI_0299_1mp4-00109.jpeg:2_5_w,15,994.312,655.938,-14.642,14.341,4,1,2,1,1,female ,MAN_P4_GAM_M1_F2_GSP_DJI_0299_1mp4-00109.jpeg:1_5_w
