 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,spesh782_1mp4-00024.jpeg:2_3_l,254,362.5,525,-25.249,253.19,4,1,2,1,1,calf
2,spesh782_1mp4-00024.jpeg:2_3_w,69,397,538,65.695,68.029,4,1,2,1,1,calf
