 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,RichardBrooks3_1mp4-00596.jpeg:4_3_l,99,1387.167,405.75,1.466,97.699,9,1,2,2,2,unidentified
2,RichardBrooks3_1mp4-00596.jpeg:4_3_w,18,1399.167,408.583,-87.686,16.513,9,1,2,2,2,unidentified
